zone,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
-12,10,175,479,887,1945,3528,4853,5661,5948,5335,1893
-11,13,114,312,583,1300,2170,2933,3372,3516,3430,1376
-10,21,143,488,974,2138,3981,6068,7096,7819,7481,3202
-9,21,159,444,891,2069,3772,5305,6227,6876,6621,3349
-8,22,125,359,636,1405,2596,3624,4097,4348,4024,2606
-7,4,37,100,170,480,919,1245,1477,1473,1507,1750
-6,2,21,48,60,254,526,728,818,882,865,2044
-5,0,5,28,39,195,488,725,898,835,778,2387
-4,1,5,30,48,225,576,822,947,902,844,2631
-3,1,18,30,52,269,607,921,990,1057,942,2887
-2,3,8,43,71,264,649,972,1113,1170,1112,2957
-1,4,25,86,123,414,794,1216,1405,1437,1464,4127
0,10,58,142,241,706,1419,1845,2291,2412,2347,7683
1,12,119,336,528,1282,2270,3394,3912,4315,3965,8190
2,24,195,473,801,1830,3458,5057,6106,6426,6060,8201
3,13,153,555,791,1791,3627,5587,6565,7368,7148,7883
4,11,145,449,717,1758,3547,5642,6978,8260,7805,5117
5,11,128,359,650,1643,3505,5620,7574,8952,7839,4173
6,14,131,365,688,1674,3488,5381,7077,8394,7242,6765
7,20,197,505,1042,2422,5509,8829,11009,12875,10914,8120
8,30,250,921,1778,4121,9565,16114,20159,23827,19202,15650
9,22,258,837,1741,3833,9053,15121,18679,21500,17619,14086
10,25,195,695,1463,3246,6880,11560,13744,16143,13380,6787
11,27,194,593,1312,2987,5686,8872,10619,11836,10316,3438
